Job Title,Job Description,Rating,Location,Size,Industry,Sector,Founded,salary_avg,extracted_skills
principal data scientist,job requisition id wd job title principal data scientist job description principal data scientist location boston san francisco ca portland united states job id wd security autodesk team security experts helps autodesk design build deploy maintain secure products embedding security full spectrum build products inception design development testing running cloud well responding existing emerging threats products building blocks products services job one step ahead bad guys use expertise technology resources thwart efforts compromise products environment operate team keeps singleminded focus protecting customer’s data investment products strengthening applications underlying services network position overview seeking innovative strategic thinker help start data science program within team exciting brandnew position part autodesk security organization develop new capabilities gain insights advanced analytics ideal candidate guide team design build deploy highimpact analytical models support security program charter principal data scientist guide strategic planning insight security challenges applications products services throughout company expected deliver strategic foresight drive excellence new data science program significant experience maturity raise bar department collaborate stakeholders throughout organization including engineers architects management identify opportunities tradeoffs design implement solutions advance program role unique position lot freedom creativity fields data science analytics security background required position based offices boston portland san francisco responsibilities lead guide data science program help understand wealth security data drive insights weaknesses threats opportunities work variety challenges drive strategic direction program design implement deploy data analytics technologies apply quantitative analysis data mining build models improve security posture applications products services research new technologies improve team’s agility performance effectiveness influence product development roadmap prioritization leverage creative mindset solve challenging problems collaborate individuals teams throughout organization minimum qualifications degree quantitative field computer science engineering discipline advanced knowledge data analytics technologies highly technical tactical strategic capabilities handson working experience big data use cases including designing building applying analytics applications experience working big data platforms hadoop spark hive etc fluency one programming languages python go etc statistical programming skills r matlab python data science toolkits etc experience working distributed teams crossfunctional stakeholders experience engineering technical role delivering software solutions preferred qualifications knowledge cloud computing technologies amazon web services aws microsoft azure google cloud platform gcp familiarity machine learning ml techniques applications adsksecuritycareers lipost autodesk building diverse workplace inclusive culture give people chance imagine design make better world autodesk proud equal opportunity employer considers qualified applicants employment without regard race color religion age sex sexual orientation gender gender identity national origin disability veteran status legally protected characteristic also consider employment qualified applicants regardless criminal histories consistent applicable law existing contractor consultant autodesk please search open jobs apply internally external site questions require support contact autodesk careers,4.0,San Francisco,5001 to 10000 employees,Computer Hardware & Software,Information Technology,1982.0,105.0,"services, deploy, design, build, strategic thinker, data, security"
business data analyst,description passionate customer success caterpillar provides services customers far beyond initial equipment sale leverage connected equipment decades application expertise enhance customer performance caterpillars global aftermarket services division gasd exists support enterprise efforts deliver valueadded services customers enhancing customer value caterpillar dealers create opportunity profitably grow businesses reducing impact market cycles services investing time talent money drive value customers company dealers passion helping customers succeed want part growing services great time join gasd job purpose insight group hiring need business data analyst embrace challenge insight group mission deliver powerful insights key internal customers gasd sales services departments enterprise key customers order facilitate strategic decisions job duties interface business analytics data engineering business data analyst key player connect three worlds together business data analyst main mission answer strategic business questions internal customers using various datasets digging data lake creating meaningful presentations charts drive factbased strategic decisions responsibilities include limited insights creation drive various groups make datadriven decisions include aftermarket data lake beyond analytics support key strategic projects key customer support quick insight deliveries time gain extensive knowledge aftermarket data lake business knowledge order answer business question key internal customers coordination data engineering bi team productionize insights industry standards analytics tools users support training thorough work documentation according team standards business data analyst demonstrates good communication skills able explain conclusions customers limited knowledge experience data able talk data engineers technical details additionally also exhibit strong planning organization proactivity comprehensive knowledge caterpillar inc products services internal systems processes procedures external environment competes like working challenging yet rewarding analytical international environment truly believe data translated valuable monetized insights like helping internal customers beyond initial requirements want grow acquire new skills hesitate apply qualifications basic requirements bachelor degree years excel advanced usage expert level – pivot tables macros years sql knowledge database years powerpoint visualization tools years business analytics based roles within business unit dealer exposure top candidates also track record getting things done fast learner excellent analytical skills ability interpret data solve business issues vulgarize results large diverse audience ability manipulate data create meaningful charts visualization understandable business excellent excel powerpoint skills willingness extra mile satisfy customers ability ask right questions customers sure needs wanted outcomes ability translate business requirements data engineer ability dig data lake found answers customers ability work independently reach timely relevant manner good communication presentation skills ability influence groups teams aftermarket understanding basic programming skills – sql basic level ability autonomous database environment ability manage project z independent manner prioritize tasks ability validate thoroughly results delivering time alteryx tableau excel powerpoint expert level data visualization software sql advanced knowledge basic programming skills language prime product knowledge component product knowledge dealer network knowledge project management – agile methodology external experience analyst consulting company years experience caterpillar working different unit working different products processes systems desirable professional english european language – french spanish additional information relocation assistance available position travel requirement less employer currently hiring foreign national applicants require require sponsorship tied specific employer h l tn f j e global company caterpillar offers many job opportunities outside us found employment website wwwcaterpillarcomcareers eeoaa employer qualified individuals including minorities females veterans individuals disabilities encouraged apply,3.7,Peoria,10000+ employees,Industrial Manufacturing,Manufacturing,1925.0,105.0,"services, support, strategic decisions"
purification scientist,new england biolabs neb seeking highly motivated detailoriented individual downstream protein manufacturing role purification scientist laboratory equipped cutting edge technologies successful candidate execute downstream processes perform inprocess analytics role requires working fastpaced collaborative environment provide highest quality products scientific community primary responsibilities program operate troubleshoot purification equipment smallpilot scale using ge akta platform including akta pure pilot process well tangential flow filtration inline buffer dilution skids represent commercial manufacturing needs close working interaction internal process development management perform analyze numerous process enzymatic dna assays required purification process develop pooling protocols apply creative problem solving downstream processes perform tasks efficiently effectively maintain accurate records effectively organize interpret present data colleagues cross functional teams senior leadership advocate new biopharma information technologies help advance downstream manufacturing required qualifications experience bachelor’s advanced degree biology biochemistry related field minimum years industry experience extensive knowledge chromatography techniques including iex affinity hic sec mmc hands experience downstream processing equipment protocols including sanitization general operation troubleshooting associated manufacturing tasks experience operating protein purification equipment knowledge unicorn software familiarity techniques sds page restriction digestion capillary electrophoresisbased rna dna protein assays demonstrate precise bench skills produce consistent dependable data exceptional attention detail passion problem solving developed sense ownership responsibility working knowledge microbial fermentation upstream processing plus new england biolabs inc equal opportunityaffirmative action employer minorities females disabled protected veterans participating employer employment verification everify program indepth details eeo available need accommodation part employment process medical condition disability please send email hrnebcom call let us know nature request,4.9,Ipswich,201 to 500 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1974.0,105.0,"organize, technologies, protein manufacturing, downstream processes, collaborative, akta, commercial manufacturing"
data analyst,part data intelligence department data analyst supports key strategic data initiatives along various business units helping understand source system data use drive innovation growth require expertise data discovery wrangling querying ad hoc report generation must relentless curiosity seek transform data actionable intelligence help us evangelize insight driven business decisions within company data exploration analysis analyzes interprets trends patterns complex datasets conducts data manipulation mining wrangling within source system databases develops sql statements runs ad hoc queries needed support data intelligence team works become sme source system databases well enterprise data warehouse understanding underlying data models relationships identifies areas opportunity improve data quality data definitions throughout organization uses root cause analysis techniques understand interpret data challenges exist reported key business areas supports enterprise business intelligence initiatives working closely developers key stakeholders create meaningful reporting solutions duties assigned communication leadership ability interact professionally crossfunctional team diverse group executives managers subject matter experts proven ability communicate data technical concepts nontechnical audience required proactively communicates collaborates external internal customers analyze information needs functional requirements creates visualizations support communicate results completed analyses selfmotivated leader entrepreneurial spirit achieves results little oversight needed qualifications bachelor’s degree accredited institution data analytics informatics statistics mathematics computer science information systems computer engineering required years’ experience structure query language sql required years’ experience data analyst role required strong understanding data file structures relational databases experience data wrangling understanding data warehouses data modelling preferred experience business intelligence tools ie webfocus powerbi tableau preferred advanced microsoft excel knowledge python r programming languages plus strong attention detail demonstrated critical thinking skills familiarity agile project management methodology sdlc excellent written verbal communication skills adapts well change ability work fast paced often highpressure environments experience data governance data management plus interest business intelligence data science interest technology innovation continual learning knowledge insurance financial services industries plus statements intended describe general nature level work performed people assigned job intended exhaustive list responsibilities skills efforts working conditions associated job offer employees robust compensation package comprehensive benefits include medical dental vision insurance coverage companypaid life disability coverage k options company match three weeks pto end first year much allied proudly promotes within part strong commitment providing career growth opportunities employees levels diverse business portfolio allows employees broad career options advantage staying organization qualified candidate receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability status protected veteran status characteristic protected law,3.4,Carmel,1001 to 5000 employees,Insurance Agencies & Brokerages,Insurance,2001.0,105.0,"business decisions, data exploration, mining, root cause analysis techniques, business, evangelize, data manipulation, data models, data discovery wrangling, innovation, datasets, enterprise data warehouse, source system data, data quality"
data engineer enterprise analytics,description data engineer enterprise analytics team responsible data acquisition strategies integration scripting tools data migrations conversions purging backups fulfills data acquisition strategy requirements work product financial control analysts users stakeholders understand business requirements supports data architecture translate data acquisition strategies data engineer author artifacts defining standards definitions storing processing moving data including associated processes business rules additionally data engineer map details within artifacts business processes nonfunctional characteristics qa criteria technical enablement role responsible constantly thinking needs business support efficient error free processes data engineer enterprise analytics responsible finding trends datasets developing workflows algorithms help make raw data useful enterprise also responsible creating data acquisition strategy develops data set processes designs implements standardized data management procedures around data staging data ingestion data preparation data provisioning data destruction scripts programs automation assisted automation etc ensures quality technical solutions data moves across healthfirst environments provide insight changing data environment data processing data storage utilization requirements company offer suggestions solutions ensures managed analytic assets support healthfirst’s strategic goals creating verifying data acquisition requirements strategy develop construct test maintain architectures align architecture business requirements use programming language tools identify ways improve data reliability efficiency quality conduct research industry business questions deploy sophisticated analytics programs machine learning statistical methods prepare data predictive prescriptive modeling find hidden patterns using data use data discover tasks automated create data monitoring capabilities business process work data consumers updates aligns data architecture healthfirst solution architecture contributes overall solution architecture help maintain integrity security company data minimum qualifications bachelor’s degree computer engineering related field years’ experience data engineering years’ experience data programing languages java python years’ experience working big data ecosystem processing data includes file systems data structuresdatabases automation security messaging movement etc years’ experience working production cloud infrastructure preferred qualifications proven track record success directing efforts data engineers business analysts within deadlinedriven fastpaced environment hands experience leading healthcare data transformation initiatives onpremise cloud deployment demonstrated experience working agile environment data engineer hands work amazon web services including creating redshift data structures accessing spectrum storing data knowledge sql multiple programming languages order optimize data processes retrieval proven results using analytical perspective identify engineering patterns within complex strategies ideas break engineered code components knowledge providersponsored health insurance systemsprocesses healthcare industry experience developing prototyping testing engineered processes products services proven ability work distributed systems proficiency relational graph nosql databases required expertise sql must able develop creative solutions problems demonstrates critical thinking skills ability communicate across functional departments achieve desired outcomes excellent interpersonal skills proven ability influence impact across functions disciplines ability work independently part team ability manage multiple projectsdeadlines identifying necessary steps moving forward completion skilled microsoft office including project powerpoint word excel visio equal opportunity employer applicants employees considered positions evaluated without regard mental physical disability race color religion gender national origin age genetic information military veteran status sexual orientation marital status protected federal stateprovince local status unrelated performance work involved disability americans disability act similar law want reasonable accommodation assist job search application employment please contact us sending email careershealthfirstorg calling email please include description accommodation requesting description position applying reasonable accommodation requests related applying position within healthfirst management services reviewed email address phone number supplied thank considering career healthfirst management services eeo law poster supplement,3.1,New York,1001 to 5000 employees,Insurance Carriers,Insurance,1993.0,105.0,"data acquisition strategies, data acquisition, datasets developing workflows algorithms, integration, data migrations, business, data architecture, purging backups"
data scientist,matters knot worldwide believe work matters countries around world leading family brands knot weddingwire bodas gigmasters bump asked lasting inspire inform celebrate communities move lifes milestones proposal creating home starting family together every step journey couples business partners depend us theyre role team knot worldwide search fulltime data scientist data scientists work stakeholders across departments within company answer strategic questions provide insight internal decision makers ranging executives senior management product managers team leads also work product team develop data driven algorithms improve features website responsibilities create smarter product solutions couples vendors answer strategic questions analyzing behavioral data communicate collaborate present results clients within knot worldwide explore novel ways look data successful data scientist candidates masters degree phd preferred proficiency key statistical machine learning techniques predictive modeling classification clustering text analytics recommender systems data mining methods forecasting advanced techniques proficiency r python familiarity common linux command line tasks version control software like git svn preferable ability communicate effectively influence others ability work fast paced environment shift gears quickly knot worldwide believe resume invite go take leap faith apply job sparks passion join tkww make difference love deeply understand users put center everything aim serve delight every day respectful act highest integrity ask questions understand perspective comfortable respectfully challenging assumptions set clear ambitious goals anticipate obstacles persevere accountable commitments arent afraid challenge status quo know theres thing failure learn seek feedback never settle quest grow develop make company stronger love us knot worldwide offers unique employee experience deeply proud awardwinning culture flexible vacation generous parental leave benefits promoting wellness giving back community believe happiness else—in office knot worldwide provides equal employment opportunities eeo employees applicants employment without regard race color religion sex national origin age disability addition federal law requirements knot worldwide complies applicable state local laws governing nondiscrimination employment every location company facilities knot worldwide expressly prohibits form workplace harassment based race color religion gender sexual orientation gender identity expression national origin age genetic information disability veteran status position eligible sponsorship resident california submitting application acknowledge youve read california privacy notice,3.5,Washington,1001 to 5000 employees,Internet,Information Technology,2019.0,105.0,"analyzing, collaborate, communicate"
data scientist,job brief ideal candidate previous data modeling experience strong preference given candidates actuarial background property casualty insurance space overview ifg companies search data scientist join growing predictive modeling team ideal candidate previous data modeling experience strong preference given candidates actuarial background property casualty insurance space responsibilities build predictive andor machine learning models sas research new statistical mathematical techniques suitable helpful solving business related problems prepare data modelling make bestcreative use applicable available internal external data identifying integrating new datasets leveraged modeling efforts support related processes around effectively deploying model business effectively communicate results written oral presentation formats technical nontechnical audiences qualifications bachelor’s degree statistics applied mathematics related discipline years data modeling similar experience experience predictive modeling classification regression parameter tuning optimization criteria feature selection preferably multiple techniques experience model validation techniques model testing continuous monitoring model performance experience property casualty insurance strongly preferred demonstrated experience working large relational data sets working knowledge sas r python another platform develop implement predictive models ability willingness quickly gain knowledge sas enterprise guide enterprise miner ability communicate complex technical information common language foster teaching analytics guidance internal customers advanced experience analytics data cleaning predictive modeling ability write queries sql detailoriented ability work collaboratively physical demands physical demands considered office environment climate controlled minimal physical exertion position requires prolonged sitting ability utilize computer interactions others meetings via phone benefits offer competitive compensation benefits package including medical dental vision k flexible spending shortterm longterm disability insurance life insurance longterm care education assistance paid time ifg companies equal opportunity employer committed diverse workforce mfdv,2.9,New York,201 to 500 employees,Insurance Carriers,Insurance,1985.0,105.0,"statistics, data modelling, data modeling, internal external data, applied mathematics, datasets"
data scientist 3 718,amyris developed highthroughput genetic engineering platform designing building custom microbes serve living factories using industrial scale fermentation process microbes convert cheap sugars wide variety highvalue target molecules end products directly impact millions lives pragmatic idealists seeking profitable way make world better place convinced synthetic biology stay major positive impact planet everyday life within amyris rd searching highly energetic curious selfmotivated data scientist strong background statistics computing biology join data science computing team research amyris highly multidisciplinary effort needs brilliant contributions life sciences engineering disciplines order take projects concept market hacking directly dna lab full scale factory production every aspect work facilitated accelerated quantitative science software hardware automation data science computing team works handinhand bench scientists builds tools enable genome engineering protein engineering metabolic modeling omics experiment analysis statistical design experiments machine learning models pursuit making better microbial strains fermentation processes short help accelerate designbuildtestanalyze cycle synthetic biology key responsibilities iteratively develop computational algorithms analyses visualization tools machine learning models meet evolving scientific needs aid rapid datadriven decision making working variety data types including genotype ngs phenotype metabolomics proteomics gcms spectroscopy fermentation material flow build versioncontrolled computational workflows analyze model rich highthroughput phenotype data interact closely crossdisciplinary teams biology analytical chemistry fermentation scientists build data science products collaborate automation engineers software developers mine experimental data metadata inhouse enterprise systems communicate algorithms analyses results technical general rd audiences required qualifications degree quantitative discipline computer science mathematics computational biology electrical engineering bioengineering equivalent phd plus years experience ms plus years experience minimum years experience analyzing visualizing large scientific datasets representing biological chemical phenotypes intermediate undergraduate level understanding biology topics including genetics cell physiology biochemistry evolution experience programming best practices unit testing cicd etc version control contributing maintaining large codebases expertise scripting programming languages python preferred handson experience machine learning frameworks concepts outstanding communication interpersonal skills ability thrive fastpaced intellectually rigorous environment creativity independent thinking passion preferred qualifications background mass spectrometry informatics high throughput sequencing spectrophotometry industrial fermentation experience microbiology synthetic biology setting lidj amyris leader industrial synthetic biology uses innovative bioscience solutions achieve renewable products converting plant sugars hydrocarbon molecules amyris’ molecules used wide range specialty performance chemicals flavors fragrances applications ranging cosmetics biofuels learn wwwamyriscom california consumer privacy act “ccpa” amyris required inform california residents job applicants “applicants” personal information collect apply job site applicant right know understand categories personal information collect purposes categories personal information shall used pursuant ccpa clicking “apply job” button submitting job application agree reviewed complete privacy notice employees independent contractors job applicants questions regarding information please contact amyris privacyamyriscom vevraa federal contractor amyris equal opportunity employer qualified applicants receive consideration employment without regard race sex color religion sexual orientation gender identity national origin disability status protected veteran status characteristic protected law amyris complies applicable state local laws governing nondiscrimination employment recruiter placement agency please submit resumes person email address amyris inc prior signed agreement amyris liable pay placement fees candidates submitted agency approved recruitment partners furthermore resumes sent us without agreement place considered company’s gift amyris may forwarded recruiters attention,3.3,Emeryville,201 to 500 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,2003.0,105.0,"designing, genome engineering, automation, dna lab, software, genetic engineering, computing, protein engineering, full scale, data science"
real world science data scientist,title real world science data scientist location gaithersburg md astrazeneca turn ideas life changing medicines working means entrepreneurial thinking big working together make impossible reality focused potential science address unmet needs patients around world commit areas think really change course medicine bring big new ideas life job description real world science digital team growing group within astrazenecas global evidence function driving scientific use real world data accelerate way patients access innovative medicines real world science digital team comprises core quantitative group digital platform leads data strategy experts providing astrazeneca enterprise hub real world science astrazeneca rich history real world evidence developed coherent strategy develop internalize data assets group amplifying investments dedicated real world data science capability real world data scientists successful role work challenging problems using innovative approaches accelerate delivery real world insights evidence key internal external stakeholders ideal candidate role bring proven track record delivering value leverage routinely collected data healthcare settings provide health analytics insights range contexts including public health pharmaceutical research development commercial payer collaborate colleagues epidemiology statistics payer giving scientific technical guidance study design rw data selection best practice rw data utilization addition assist advancing shaping azs real world science data strategy due diligence new data providersvendors informatics support data acquisitions range therapeutic areas role promote best practice real world data science across multiple domains andor stakeholder groups typical accountabilities collaborate payer epidemiology teams maximise value derived large observational research data deliver analyses data emr claims primary observational data required ta rwe strategies support development ivs strategies selection optimised contact models prioritised markets analysis rwd provide scientific guidance application real world evidence observational research data address issues across oncology biopharmaceuticals business units provide technical input options directions strategic decisions made az observational study teams study design data partner selection best practices rwe data utilization support technical teams provide access analytical tools develop visual analytics enable selfserving applications end customers provide clear technical input options direction strategic decisions rwe platform capability build provide support strategic decisions az medical evidence observational research external collaborations us markets assist building capability becomes source sustained competitive advantage az identifying acquiring integrating mining diverse rw data multiple geographic healthcare system sources support evidence generation realworld studies evaluate assess strengths weaknesses external rw data sources potential partners advancing data strategy specific therapeutic areas maintain strong insight capabilities potential external partners rwe especially us emerging markets education qualifications skills experience key relationships reach solutions internal az team payer evidence planning epidemiologists observational research teams oncology biopharmaceuticals medical affairs leads product portfolio strategy medical evidence planning key experts data science analytics environments az external partner organizations external az az rws existing prospective potential partner organizations key academic collaborators thought leaders essential requirements phd ms data science advanced degree life sciences post doctoral trainingwork medicalhealth informatics related field experience realworld evidence familiarity health economicsepidemiology quantitative science health outcome modelling expertise emrhealth disease registries insurance claims databases expertise clinical data standards medical terminologies controlled vocabularies used healthcare data ontologies icdreadcode experience supporting pharmacoepidemiology studies proven track record advancing approaches data science experience statistical analysis plan sap generation execution observational studies expertise methods development application using statistical languages rmatlabsassqlhadooppython experience advanced visualisation visual analytics routinely collected healthcare data desirable expertise data mining approaches within healthcare settings generating insight routinely collected healthcare data history patient care equivalent background working patient care setting allows candidate bring medical perspective realworld evidence generation observational studies demonstrated ability build longterm relationships stakeholders senior levels understand relevant scientificbusiness challenges deep level translate programme informatics activities deliver defined value ability lead manage multidisciplinary data science projects strong track record delivering large cross functional projects experience working global organization delivering global solutions use machine learning artificial intelligence generation hypotheses within real world data,4.0,Gaithersburg,10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1913.0,105.0,"data assets, entrepreneurial"
data scientist,senior data scientist build improve analytic pipelines consolidate multiple data sources perform analytic processing produce actionable business information eg top lists patternmatches exceptions lists needles haystack apply handson development skills experience expert analytics data science pattern recognition,3.6,Washington,51 to 200 employees,IT Services,Information Technology,2001.0,105.0,"pattern recognition, analytic processing, analytics data science, handson development, analytic pipelines"
data engineer,job description consider opi people dig working variety consulting new technologies projects people regular basis stability we’ve around since diverse mix clients technologies keep us busy busy keep bench you’re project you’re writing software internal business functions you’re learning new technologies it’s benefit make consultants marketable possible that’s good career politics management don’t get way sit meetings day code productive awesome benefits free healthcare entire family yes free days pto days sick time quarterly profit sharing bonuses get paid ot company trips mexico company lake cabinshomes various quarterly company events new macbook pro’s free beersoda chips candy much work best object partners search linkedin see types talent hire truly get work intelligent passionate engineers share goal building great software right way low company overhead means money back consultants pockets profit sharing company trips events share financial success qualifications architecture design highly availablescalable distributed systems design development streaming data platforms using kafka streams spark flink storm beam cloud dataflow experience functionaleventdriven programming nosql technologies elasticsearch cassandra messaging technologies rabbitmq kafka kinesis sql hadoop technologies hive impala presto cloud services aws azure gcp openstack jvm languages java groovy kotlin scala service frameworks spring boot ratpack vertx play knowledge data analytics visualization governance knowledge operating big data production solutions scale knowledge cicd pipelines devops culture passion software development someone loves aren’t paycheck dev projects going home times new projects new teams new technologies means adjust learn time might get thrown devops project well ability jump get feet wet without hesitation important don’t want grow learn we’re fit positive cando attitude teach technology can’t teach approach client challenges positive helpful demeanor best consultants aren’t technical although sure helps it’s consultant whatever takes see client successful matter throw,4.7,Saint Louis,51 to 200 employees,Consulting,Business Services,1996.0,105.0,"macbook pro, technologies, consulting, beersoda"
data scientist  image and video analytics,company industry technology opportunity mom project helping source candidates client looking data scientist image video analytics commitment level hours per week onsite travel customer data storage company help maximize humanity’s potential delivering worldclass precisionengineered data solutions developed sustainable profitable partnerships honor people’s craftsmanship take great pride successfully collaborating partners care deeply customers data solutions help protect memories business intelligence communication records much overview seeking staff data scientist image video analytics support operations technology advanced analytics group you’ll • role facilitate advancement modern analytical techniques across seagate organizations • leverage andor develop innovative data mining machine learning methods solve novel diverse business problems • focus imagevideo analytics edge computing projects applying techniques machine learning deep learning statistical algorithms • develop data science solutions analytics challenges areas edge computing iot sensors industry prognostics health management technical areas • quantify effectiveness value innovations subject matter experts • provide technical advice coaching junior analytics staff • evangelist assessor promoting new ways diving complex issues assessing current practices identifying areas training knowledge would help • strong oral written communication skills • strong business mindset ability condense complex analysis technical concepts clear concise takeaways business leaders • selfstarter ability drive initiatives influence • ability work alone well team environment • collaborative attitude global mindset ability work well native nonnative english speakers • demonstrated leadership skills along ability lead team mentor junior staff closeout technical projects must haves • years experience • proven track record solving industrial image video analytics problems computer vision willingness deep learning industry standards required • handson experience developing deploying image video analytics solutions • good understanding imagevideo analytics lifecycle imagevideo data gathering processing model development verification deployment model updating • high proficiency python • handson skills machine learning deep learning statistical algorithms data mining data structures data engineering • proven track record delivering analytics solutions using tensorrt time series analysis keras tensorflow cnn gan rnn techniques • kubernetesdocker microservices deployment design patterns restful web services web applications dashboard development • hadoop spark cloud computing infrastructures • ability deploy data science solutions cloud analytics infrastructure aws • ability participate conference calls outside regular local work hours education bachelor’s degree desired education masters phd hours location standard mf hoursweek position starting longmont co remote capability role,4.9,Longmont,1 to 50 employees,Staffing & Outsourcing,Business Services,2016.0,105.0,"data mining, partnerships, communication, technology, collaborating"
data scientist,lightspeed systems partners schools make learning safe mobile easily managed currently serving million students schools countries growing looking add passionate driven people help us fulfill mission looking challenging role learn lots impact lightspeed systems hiring data scientist join team high visibility role success role comes marrying strong data modeling background acute product business acumen deliver highly strategic compelling insights accelerate business growth influence product decisions role creating validating maintaining statistical models define drive datadriven productfeatures selecting appropriate combination methods tools exceed customer’s expectations proactively analyze data answer key questions stakeholders selfinitiated curiosity eye drives business performance investigating implementing improvements efficiency productivity participate strategic planning discussions interface customers gathering requirements collaborating product managers delivering working prototypes create maintain interactive visualizations data interpretation analysis integrating various reporting components multiple data sources define implement train statistical machine learning deep learning models bachelors masters computer science statistics math finance quantitative field years relevant experience data science strong communication interpersonal skills you’ll work crossfunctionally across organization marketing finance sales etc—you work every department experience using supervised unsupervised modeling techniques including limited decision trees regressions kmeans neural networks ability define spot macro micro levels trends statistical significance regular basis understand key drivers driving trends work closely data engineering team ensure robust data pipelines model deployment must analytical creative thinker wherever possible look resolve questions data strong attention detail accuracy – organizing disseminating significant amounts information business decisions made growth mindset hold accountable delivering results work well teams help around improve desired toolslanguages sql python pyspark statistical packagesscripting languages experience aws cloud environment cloud tools tensorflow cloudml experience traditional data stores postgresql sql server mysql nosql datastores cassandra dynamodb file system stores hdfs applicants must authorized work employer us unable sponsor take sponsorship employment visa time us education undergoing technology revolution new devices tools added classroom every day departments responsible keeping technology managed safe working come lightspeed systems edtech provider leader k device filtering years partners schools make learning safe managed mobile learn wwwlightspeedsystemscom love employees show sneak peek benefits perks include health medical dental vision insurance healthy company contribution toward premiums wellness lightspeed kicks cash hsa participate hdhp employees provided adjustable desk onsite gyms offices healthy holiday pto policy retirement k matching perks fully stocked kitchen snacks beverages lunches provided well,4.3,Austin,51 to 200 employees,Computer Hardware & Software,Information Technology,1999.0,105.0,"insights, proactively, data modeling, product, strategic, strategic planning, product decisions, collaborating, business growth"
data science manager payment acceptance  usa,build rigorous observability optimizations across many ways payments accepted stripe stripe data science managers grow teams inspire rigorous work shapes decisions products looking experienced data science manager lead team supporting payment acceptance acceptance team focused optimizing hundreds billions year payments volume expanding consumers businesses pay using payment methods around world building checkout experience improves conversion rate time need help building culture rigorous measurement experimentation optimization lead team data scientists analysts define measure key outcome metrics products systems design analyze experiments improve conversion funnel charge submission stripe well ensure charges maximum likelihood accepted financial partners apply statistical methods causal inference machine learning inform product decisions optimize products systems partner closely product engineering teams identify prioritize important data science projects recruit great data scientists analysts collaboration stripes recruiting team develop data scientists analysts team helping advance careers providing continuous feedback youd ideally years data science experience years management experience phd ms quantitative field eg statistics economics sciences mathematics engineering expert knowledge scientific computing language r python sql strong knowledge statistics experimental design ability communicate results clearly focus driving impact,4.0,San Francisco,1001 to 5000 employees,Internet,Information Technology,2010.0,105.0,"optimization, observability, statistical methods, systems, causal inference, experimentation, financial, machine learning, product engineering, systems design, metrics, analyze, data science"
